"name","total","male","female"
"Afghanistan","64.6180","63.1740","66.1660"
"Albania","78.4960","76.8800","80.1760"
"Algeria","76.7720","75.5720","78.0240"
"Angola","60.8760","58.1560","63.7600"
"Antigua and Barbuda","76.9500","75.7880","78.0440"
"Argentina","76.5940","73.1640","79.9240"
"Armenia","75.0060","71.2600","78.4200"
"Aruba","76.2200","73.7000","78.5720"
"Australia","83.3480","81.3840","85.3360"
"Austria","81.4900","79.0880","83.8380"
"Azerbaijan","72.9140","70.4000","75.3820"
"Bahamas","73.8400","71.5740","76.0060"
"Bahrain","77.2260","76.3740","78.3520"
"Bangladesh","72.4340","70.7440","74.4080"
"Barbados","79.1440","77.7520","80.4500"
"Belarus","74.6320","69.4700","79.4520"
"Belgium","81.5460","79.2160","83.8140"
"Belize","74.5140","71.5640","77.7140"
"Benin","61.6080","60.0460","63.1540"
"Bhutan","71.5780","71.2220","71.9620"
"Bolivia","71.3340","68.5240","74.3100"
"Bosnia and Herzegovina","77.3300","74.8160","79.7840"
"Botswana","69.2440","66.1680","72.0260"
"Brazil","75.7620","72.1220","79.4440"
"Brunei","75.7960","74.6660","77.0320"
"Bulgaria","74.9780","71.4820","78.5960"
"Burkina Faso","61.3320","60.5000","62.0360"
"Burundi","61.3580","59.5460","63.1520"
"Cape Verde","72.8760","69.4140","76.1020"
"Cambodia","69.6600","67.3760","71.7380"
"Cameroon","59.0800","57.8220","60.3480"
"Canada","82.3680","80.3580","84.3480"
"Central African Republic","53.0080","50.8320","55.2120"
"Chad","54.0740","52.6740","55.4980"
"Channel Islands","82.9920","81.0520","84.8540"
"Chile","80.1160","77.6600","82.4160"
"China","76.7900","74.6480","79.1220"
"Hong Kong","84.7620","81.8760","87.6580"
"Macau","84.1680","81.2020","87.1000"
"Taiwan","80.3600","77.6820","83.1360"
"Colombia","77.1900","74.4200","79.9320"
"Comoros","64.1900","62.4640","65.9840"
"Republic of the Congo","64.3700","62.8940","65.8020"
"Costa Rica","80.1880","77.6500","82.8060"
"Ivory Coast","57.5420","56.3560","58.8820"
"Croatia","78.4040","75.1980","81.5160"
"Cuba","78.7880","76.8260","80.7600"
"Curacao","78.7860","75.6680","81.5520"
"Cyprus","80.9020","78.8300","82.9620"
"Czech Republic","79.2900","76.6500","81.8780"
"North Korea","72.1460","68.4920","75.6100"
"DR Congo","60.4880","58.9620","62.0340"
"Denmark","80.8240","78.8600","82.7980"
"Djibouti","66.8060","64.8320","69.0240"
"Dominican Republic","73.9780","70.8920","77.2760"
"Ecuador","76.9020","74.1700","79.7380"
"Egypt","71.9000","69.6620","74.2540"
"El Salvador","73.2040","68.3420","77.7280"
"Equatorial Guinea","58.5640","57.5680","59.7440"
"Eritrea","66.0880","63.9320","68.3180"
"Estonia","78.6040","74.1800","82.6040"
"Swaziland","59.6580","55.5320","64.2380"
"Ethiopia","66.3380","64.4440","68.2640"
"Fiji","67.3980","65.6800","69.2580"
"Finland","81.8080","78.9640","84.6440"
"France","82.5940","79.6160","85.4520"
"French Guiana","79.8900","76.9280","83.0360"
"French Polynesia","77.5500","75.5020","79.8020"
"Gabon","66.2540","64.1940","68.4220"
"Gambia","61.8840","60.4960","63.3060"
"Georgia","73.6640","69.2420","78.0440"
"Germany","81.2560","78.8600","83.6680"
"Ghana","63.9080","62.8360","65.0020"
"Greece","82.1440","79.6880","84.6000"
"Grenada","72.4300","70.1040","74.9920"
"Guadeloupe","82.0200","78.3360","85.3800"
"Guam","79.9640","76.7260","83.4360"
"Guatemala","74.1620","71.2280","77.0180"
"Guinea","61.3600","60.6220","61.8740"
"Guinea-Bissau","58.1320","56.1020","60.0340"
"Guyana","69.8200","66.8360","73.0180"
"Haiti","63.8140","61.6500","65.9860"
"Honduras","75.1660","72.8580","77.4520"
"Hungary","76.7660","73.1240","80.1960"
"Iceland","82.9200","81.4140","84.4280"
"India","69.5000","68.3200","70.7840"
"Indonesia","71.5920","69.4560","73.8320"
"Iran","76.5460","75.4520","77.7560"
"Iraq","70.5120","68.4560","72.5780"
"Ireland","82.2020","80.5380","83.8240"
"Israel","82.8900","81.2280","84.4380"
"Italy","83.4240","81.2120","85.4740"
"Jamaica","74.4400","72.8500","76.0720"
"Japan","84.5500","81.4060","87.5940"
"Jordan","74.4660","72.7840","76.2360"
"Kazakhstan","73.3540","68.9660","77.4740"
"Kenya","66.4380","64.0640","68.7740"
"Kiribati","68.2260","64.1200","72.2000"
"Kuwait","75.4340","74.7060","76.5160"
"Kyrgyzstan","71.3340","67.3380","75.4940"
"Laos","67.7300","65.9520","69.5500"
"Latvia","75.1860","70.1140","79.9220"
"Lebanon","78.9100","77.1220","80.8500"
"Lesotho","53.9380","50.8240","57.1800"
"Liberia","63.8800","62.4840","65.2720"
"Libya","72.8480","70.0420","75.8840"
"Lithuania","75.8020","70.1540","81.2520"
"Luxembourg","82.1560","80.0380","84.2720"
"Madagascar","66.8340","65.2180","68.4640"
"Malawi","63.8680","60.7220","67.0100"
"Malaysia","76.0740","74.1500","78.2360"
"Maldives","78.7540","77.3620","80.6040"
"Mali","59.0760","58.3060","59.8460"
"Malta","82.4440","80.5940","84.1920"
"Martinique","82.4420","79.0820","85.5240"
"Mauritania","64.8020","63.1760","66.3920"
"Mauritius","74.9100","71.5700","78.3840"
"Mayotte","79.4420","76.1560","82.9680"
"Mexico","75.0660","72.2040","77.8980"
"Micronesia","67.8140","66.1640","69.5180"
"Mongolia","69.7460","65.6860","74.0140"
"Montenegro","76.7980","74.3580","79.2180"
"Morocco","76.5500","75.2900","77.7640"
"Mozambique","60.4660","57.4180","63.2700"
"Myanmar","66.9640","63.8660","69.9620"
"Namibia","63.3880","60.3980","66.1740"
"Nepal","70.5960","69.0900","72.0220"
"Netherlands","82.2040","80.4960","83.8860"
"New Caledonia","77.4560","74.8500","80.3060"
"New Zealand","82.2080","80.4800","83.9160"
"Nicaragua","74.3660","70.8380","77.8580"
"Niger","62.1640","61.0340","63.3540"
"Nigeria","54.4940","53.6000","55.4140"
"Macedonia","75.7320","73.7320","77.7840"
"Norway","82.3320","80.3580","84.3160"
"Oman","77.7400","76.0040","80.2280"
"Pakistan","67.1740","66.2420","68.1800"
"Panama","78.4120","75.3320","81.6640"
"Papua New Guinea","64.3640","63.1360","65.6840"
"Paraguay","74.1820","72.1980","76.3160"
"Peru","76.6160","73.9420","79.3740"
"Philippines","71.1560","67.1980","75.4320"
"Poland","78.6220","74.6860","82.4920"
"Portugal","81.9300","78.8940","84.7680"
"Puerto Rico","80.0180","76.4300","83.4320"
"Qatar","80.1620","79.0680","81.9380"
"South Korea","82.9160","79.7960","85.8440"
"Moldova","71.8040","67.5400","76.0580"
"Reunion","80.3340","77.5600","83.8900"
"Romania","75.9640","72.5140","79.4380"
"Russia","72.4280","66.9720","77.6620"
"Rwanda","68.7520","66.5660","70.8400"
"Saint Lucia","76.1260","74.7820","77.5080"
"Saint Vincent and the Grenadines","72.4840","70.2440","75.0760"
"Samoa","73.2380","71.2420","75.3860"
"Sao Tome and Principe","70.2420","67.8440","72.6600"
"Saudi Arabia","75.0580","73.8620","76.6820"
"Senegal","67.7500","65.5840","69.7120"
"Serbia","75.9100","73.3140","78.5300"
"Seychelles","73.3800","69.8760","77.3580"
"Sierra Leone","54.4400","53.5940","55.2360"
"Singapore","83.5260","81.4120","85.6460"
"Slovakia","77.4480","73.9100","80.8780"
"Slovenia","81.2340","78.4520","83.9680"
"Solomon Islands","72.8920","71.2080","74.7580"
"Somalia","57.2200","55.5560","58.9500"
"South Africa","63.8720","60.4840","67.3960"
"South Sudan","57.6840","56.2020","59.2140"
"Spain","83.4860","80.7340","86.1760"
"Sri Lanka","76.8880","73.5060","80.1880"
"Palestine","73.9800","72.3440","75.6760"
"Sudan","65.1780","63.3400","67.0460"
"Suriname","71.6180","68.4080","74.9900"
"Sweden","82.7220","80.9380","84.4980"
"Switzerland","83.6980","81.7640","85.5320"
"Syria","72.2680","67.3140","77.9500"
"Tajikistan","70.9680","68.8120","73.2620"
"Thailand","77.0120","73.3280","80.7640"
"Timor-Leste","69.3560","67.3720","71.4800"
"Togo","60.8500","59.9680","61.7120"
"Tonga","70.8540","68.9200","72.8280"
"Trinidad and Tobago","73.4300","70.8000","76.1480"
"Tunisia","76.6000","74.5860","78.6360"
"Turkey","77.5380","74.5540","80.4260"
"Turkmenistan","68.1100","64.6280","71.6380"
"Uganda","63.0840","60.7340","65.3100"
"Ukraine","71.9560","66.9760","76.7580"
"United Arab Emirates","77.8920","77.2060","79.2320"
"United Kingdom","81.2740","79.5400","82.9760"
"Tanzania","65.1500","63.3360","66.9300"
"United States","78.8700","76.3620","81.4020"
"United States Virgin Islands","80.4820","77.8560","83.0240"
"Uruguay","77.8380","74.0460","81.4160"
"Uzbekistan","71.6320","69.4880","73.7560"
"Vanuatu","70.3980","68.9120","72.0700"
"Venezuela","72.1720","68.4380","76.1140"
"Vietnam","75.3700","71.2740","79.4900"
"Western Sahara","70.1040","68.4640","72.1340"
"World","72.4560","70.0980","74.8940"
"Yemen","66.1120","64.4320","67.8160"
"Zambia","63.5480","60.5400","66.5180"
"Zimbabwe","61.0960","59.4060","62.5080"